transaction_date,value_date,description,ref_no,credit,debit,balance
2025-12-29,2025-12-31,NEFT CR: HDFC UTR1787854736s7rp42 RAZORPAY SETTLEMENT REF:pay_PniHShfK6Josl0,1787854736s7rp42,10146.25,,3717017.08
2025-12-29,2025-12-31,NEFT CR: HDFC UTR17878547368cq1xg RAZORPAY SETTLEMENT REF:pay_BCnjovZnemR7dx,17878547368cq1xg,6687.2,,3723704.28
2025-12-29,2025-12-30,NEFT CR: HDFC UTR1787854736n2xr83 RAZORPAY SETTLEMENT REF:pay_EDbeMlTst18IWi,1787854736n2xr83,7559.13,,3731263.41
2025-12-29,2025-12-29,NEFT CR: HDFC UTR1787854736iqup06 RAZORPAY SETTLEMENT REF:pay_lQo8jODdgswXyP,1787854736iqup06,3390.89,,3734654.3
2025-12-31,2026-01-02,NEFT CR: HDFC UTR17878547366vv8su RAZORPAY SETTLEMENT REF:pay_jQZcn2FfR6W6UA,17878547366vv8su,36537.98,,3771192.28
2026-01-04,2026-01-05,NEFT CR: HDFC UTR1787854736m33mg1 RAZORPAY SETTLEMENT REF:pay_yZh1d2dE3sf3xq,1787854736m33mg1,43308.23,,3814500.51
2026-01-10,2026-01-10,NEFT CR: HDFC UTR1787854736dxo100 RAZORPAY SETTLEMENT REF:pay_wrNlr9MIEKs9y7,1787854736dxo100,3472.24,,3817972.75
2026-01-16,2026-01-17,NEFT CR: HDFC UTR1787854736bgtj54 RAZORPAY SETTLEMENT REF:pay_lXqekOncp3cRhE,1787854736bgtj54,30079.81,,3848052.56
2026-01-22,2026-01-24,NEFT CR: HDFC UTR178785473644eew1 RAZORPAY SETTLEMENT REF:pay_UU8tbneTri3mWp,178785473644eew1,42124.27,,3890176.83
2026-01-26,2026-01-26,NEFT CR: HDFC UTR178785473681do6o RAZORPAY SETTLEMENT REF:pay_72I1H9YH8zu8cs,178785473681do6o,29409.38,,3919586.21
2026-01-27,2026-01-29,NEFT CR: HDFC UTR1787854736m42o34 RAZORPAY SETTLEMENT REF:pay_pKWbm2FyLY7QX0,1787854736m42o34,28020.98,,3947607.19
2026-01-28,2026-01-28,NEFT CR: HDFC UTR1787854736juw7wr RAZORPAY SETTLEMENT REF:pay_uDFbalZNfVGqkg,1787854736juw7wr,5363.84,,3952971.03
2026-02-02,2026-02-04,NEFT CR: HDFC UTR1787854736ywk5jr RAZORPAY SETTLEMENT REF:pay_a9LSGUSbsKbbt4,1787854736ywk5jr,50965.42,,4003936.45
2026-02-07,2026-02-09,NEFT CR: HDFC UTR1787854736u8kd9g RAZORPAY SETTLEMENT REF:pay_86EnWxq7IlwCEw,1787854736u8kd9g,53705.73,,4057642.18
2026-02-08,2026-02-08,NEFT CR: HDFC UTR1787854736uxdq59 RAZORPAY SETTLEMENT REF:pay_BvSRhKcuviHHwz,1787854736uxdq59,8953.89,,4066596.07
2026-02-08,2026-02-08,NEFT CR: HDFC UTR17878547360bjwko RAZORPAY SETTLEMENT REF:pay_Csh9GzuS9bVyb9,17878547360bjwko,3471.81,,4070067.88
2026-02-09,2026-02-11,NEFT CR: HDFC UTR1787854736r9kmp6 RAZORPAY SETTLEMENT REF:pay_kVsnKIMMDVRhUr,1787854736r9kmp6,3839.96,,4073907.84
2026-02-09,2026-02-11,NEFT CR: HDFC UTR1787854736aw1lxx RAZORPAY SETTLEMENT REF:pay_qHt66Y97Cl57Nj,1787854736aw1lxx,35471.93,,4109379.77
2026-02-11,2026-02-12,NEFT CR: HDFC UTR1787854736w7jp61 RAZORPAY SETTLEMENT REF:pay_xilFT9sgvzE8nb,1787854736w7jp61,23552.86,,4132932.63
2026-02-17,2026-02-17,NEFT CR: HDFC UTR178785473679955c RAZORPAY SETTLEMENT REF:pay_KoiSdtsi463oNN,178785473679955c,8889.98,,4141822.61
2026-03-06,2026-03-07,NEFT CR: HDFC UTR1787854736vv59ho RAZORPAY SETTLEMENT REF:pay_ppQlIzGsHHGMMQ,1787854736vv59ho,12615.77,,4154438.38
2026-03-06,2026-03-07,NEFT CR: HDFC UTR1787854736nhksqn RAZORPAY SETTLEMENT REF:pay_ZJh4qdOAFGje6w,1787854736nhksqn,2591.22,,4157029.6
2026-03-12,2026-03-12,NEFT CR: HDFC UTR1787854736vpgstq RAZORPAY SETTLEMENT REF:pay_awOHOnmDzehnjs,1787854736vpgstq,25154.0,,4182183.6
2026-03-19,2026-03-20,NEFT CR: HDFC UTR17878547369jd3ih RAZORPAY SETTLEMENT REF:pay_ECsBVGx5tfiUac,17878547369jd3ih,5805.39,,4187988.99
2026-03-24,2026-03-26,NEFT CR: HDFC UTR1787854736gnrfio RAZORPAY SETTLEMENT REF:pay_R86zFNn8DU9wMz,1787854736gnrfio,54939.14,,4242928.13
2026-03-31,2026-04-02,NEFT CR: HDFC UTR1787854736iwkesv RAZORPAY SETTLEMENT REF:pay_UQS0d1k6E3f1XS,1787854736iwkesv,53925.63,,4296853.76
2026-04-11,2026-04-12,NEFT CR: HDFC UTR1787854736d0nx5w RAZORPAY SETTLEMENT REF:pay_4oTbjtFSuKIh8g,1787854736d0nx5w,20195.83,,4317049.59
2026-04-17,2026-04-19,NEFT CR: HDFC UTR1787854736zq50op RAZORPAY SETTLEMENT REF:pay_Jv3pHtA1ACW5L7,1787854736zq50op,21326.69,,4338376.28
2026-04-17,2026-04-17,NEFT CR: HDFC UTR1787854736khba5m RAZORPAY SETTLEMENT REF:pay_soNP4TzjHpDNfC,1787854736khba5m,13650.81,,4352027.09
2026-04-24,2026-04-26,NEFT CR: HDFC UTR1787854736z5p3vo RAZORPAY SETTLEMENT REF:pay_EVTn7yptUANqVw,1787854736z5p3vo,9999.79,,4362026.88
2026-05-01,2026-05-01,NEFT CR: HDFC UTR1787854736l9c59e RAZORPAY SETTLEMENT REF:pay_rouhlw7SLqLKfX,1787854736l9c59e,31457.21,,4393484.09
2026-05-06,2026-05-08,NEFT CR: HDFC UTR1787854736fkxwex RAZORPAY SETTLEMENT REF:pay_OcJL2vBom63OEk,1787854736fkxwex,55332.07,,4448816.16
2026-05-07,2026-05-07,NEFT CR: HDFC UTR17878547361vgll4 RAZORPAY SETTLEMENT REF:pay_IoNSD624mae86p,17878547361vgll4,36605.56,,4485421.72
2026-05-14,2026-05-16,NEFT CR: HDFC UTR1787854736jwh55h RAZORPAY SETTLEMENT REF:pay_RA6FsevqoexFNq,1787854736jwh55h,10051.9,,4495473.62
2026-05-17,2026-05-17,NEFT CR: HDFC UTR1787854736yesu4f RAZORPAY SETTLEMENT REF:pay_2PCbhuwI9O4jjv,1787854736yesu4f,38263.89,,4533737.51
2026-05-26,2026-05-27,NEFT CR: HDFC UTR17878547362y8rgy RAZORPAY SETTLEMENT REF:pay_9tSUzhrSyWp8kx,17878547362y8rgy,27884.7,,4561622.21
2026-05-26,2026-05-28,NEFT CR: HDFC UTR1787854736mdmmmx RAZORPAY SETTLEMENT REF:pay_SPEQXwJYWF6bvG,1787854736mdmmmx,20607.8,,4582230.01
2026-05-26,2026-05-26,NEFT CR: HDFC UTR1787854736nxiv9i RAZORPAY SETTLEMENT REF:pay_ssGlL5YcwsGZ5z,1787854736nxiv9i,43613.72,,4625843.73
2026-05-26,2026-05-27,NEFT CR: HDFC UTR1787854736f0jqqn RAZORPAY SETTLEMENT REF:pay_OwxRp5Y78TiAPm,1787854736f0jqqn,7550.75,,4633394.48
2026-06-09,2026-06-11,NEFT CR: HDFC UTR1787854736p5el2b RAZORPAY SETTLEMENT REF:pay_bo7IegD50df5Kj,1787854736p5el2b,52195.0,,4685589.48
2026-06-10,2026-06-10,NEFT CR: HDFC UTR1787854736w0gkej RAZORPAY SETTLEMENT REF:pay_id9jwYI1HOw6Gf,1787854736w0gkej,8372.71,,4693962.19
2026-06-13,2026-06-13,NEFT CR: HDFC UTR1787854736yvzwd3 RAZORPAY SETTLEMENT REF:pay_9iWIlYCCsxgJ3I,1787854736yvzwd3,51815.1,,4745777.29
2026-06-21,2026-06-22,NEFT CR: HDFC UTR1787854736phh62m RAZORPAY SETTLEMENT REF:pay_cNSgmkA970ikRq,1787854736phh62m,46488.93,,4792266.22
2026-06-29,2026-07-01,NEFT CR: HDFC UTR1787854736bslulz RAZORPAY SETTLEMENT REF:pay_21RwZ5fyRSk9eJ,1787854736bslulz,44285.08,,4836551.3
2026-07-02,2026-07-03,NEFT CR: HDFC UTR1787854736mx1gm3 RAZORPAY SETTLEMENT REF:pay_eCfk12bgcsZoJd,1787854736mx1gm3,53822.93,,4890374.23
2026-07-06,2026-07-06,NEFT CR: HDFC UTR1787854736fia3o1 RAZORPAY SETTLEMENT REF:pay_IgAobsmJZq1FGu,1787854736fia3o1,11120.15,,4901494.38
2026-07-08,2026-07-08,NEFT CR: HDFC UTR1787854736vq05px RAZORPAY SETTLEMENT REF:pay_zPFBh9Vowou6MB,1787854736vq05px,8409.2,,4909903.58
2026-07-08,2026-07-08,NEFT CR: HDFC UTR1787854736m2kql0 RAZORPAY SETTLEMENT REF:pay_YEUph7m3ehmOqR,1787854736m2kql0,26518.51,,4936422.09
2026-07-09,2026-07-10,NEFT CR: HDFC UTR178785473678rapk RAZORPAY SETTLEMENT REF:pay_piNrvKluHy7GBT,178785473678rapk,34149.49,,4970571.58
2026-07-11,2026-07-13,NEFT CR: HDFC UTR1787854736rym81c RAZORPAY SETTLEMENT REF:pay_dgauUrQPHLHhvL,1787854736rym81c,32408.59,,5002980.17
2026-07-11,2026-07-11,NEFT CR: HDFC UTR17878547361v3zo7 RAZORPAY SETTLEMENT REF:pay_yOwwkR99hxG1IW,17878547361v3zo7,25407.46,,5028387.63
2026-07-11,2026-07-13,NEFT CR: HDFC UTR1787854736laq665 RAZORPAY SETTLEMENT REF:pay_7DdYqe4EFlERnh,1787854736laq665,5972.07,,5034359.7
2026-07-12,2026-07-14,NEFT CR: HDFC UTR1787854736wbkok3 RAZORPAY SETTLEMENT REF:pay_KDtgudwfGf6Cw1,1787854736wbkok3,5279.92,,5039639.62
2026-07-12,2026-07-13,NEFT CR: HDFC UTR1787854736b86ktf RAZORPAY SETTLEMENT REF:pay_EXIBg4qzlL3l2g,1787854736b86ktf,26969.46,,5066609.08
2026-07-13,2026-07-13,NEFT CR: HDFC UTR1787854736hmewcj RAZORPAY SETTLEMENT REF:pay_Ilz3wogWCgOxwX,1787854736hmewcj,3948.04,,5070557.12
2026-07-21,2026-07-21,NEFT CR: HDFC UTR1787854736nn16ux RAZORPAY SETTLEMENT REF:pay_gclGr0ovsNbOVc,1787854736nn16ux,30939.75,,5101496.87
2026-07-25,2026-07-26,NEFT CR: HDFC UTR1787854736uws44c RAZORPAY SETTLEMENT REF:pay_RXg7yxIPn2iG00,1787854736uws44c,45190.54,,5146687.41
2026-07-25,2026-07-25,NEFT CR: HDFC UTR1787854736gft4mp RAZORPAY SETTLEMENT REF:pay_Q4Jb6NbVBDfO9X,1787854736gft4mp,20010.16,,5166697.57
2026-07-26,2026-07-27,NEFT CR: HDFC UTR17878547360sqg4e RAZORPAY SETTLEMENT REF:pay_JXJNZUcDzYv6B2,17878547360sqg4e,21663.07,,5188360.64
2026-07-30,2026-07-31,NEFT CR: HDFC UTR1787854736gfah5n RAZORPAY SETTLEMENT REF:pay_6SY3zhtx3eQeYp,1787854736gfah5n,8690.24,,5197050.88
2026-07-31,2026-07-31,NEFT CR: HDFC UTR17878547364t8bp6 RAZORPAY SETTLEMENT REF:pay_5Sij0phXtxqEuV,17878547364t8bp6,50482.3,,5247533.18
2026-07-31,2026-08-02,NEFT CR: HDFC UTR1787854736sbzb7t RAZORPAY SETTLEMENT REF:pay_u53BySRerG1I8b,1787854736sbzb7t,10579.4,,5258112.58
2026-08-02,2026-08-03,NEFT CR: HDFC UTR1787854736lwjtiq RAZORPAY SETTLEMENT REF:pay_MIs40UBk4w017X,1787854736lwjtiq,11979.06,,5270091.64
2026-08-02,2026-08-02,NEFT CR: HDFC UTR1787854736lwjtiq RAZORPAY SETTLEMENT REF:pay_YURc2wmgaZJkv6,1787854736lwjtiq,52581.68,,5322673.32
2026-08-03,2026-08-04,NEFT CR: HDFC UTR1787854736p6rfe6 RAZORPAY SETTLEMENT REF:pay_7TIRFillwq0oSg,1787854736p6rfe6,10151.6,,5332824.92
2026-08-03,2026-08-03,NEFT CR: HDFC UTR17878547362t5ovj RAZORPAY SETTLEMENT REF:pay_qDYnxzdlFQWls5,17878547362t5ovj,3402.74,,5336227.66
2026-08-04,2026-08-05,NEFT CR: HDFC UTR1787854736xsf3l2 RAZORPAY SETTLEMENT REF:pay_zjaPv4FlhPAuAg,1787854736xsf3l2,9693.12,,5345920.78
2026-08-05,2026-08-05,NEFT CR: HDFC UTR17878547365b7kxu RAZORPAY SETTLEMENT REF:pay_QOpgxY42CoG8nQ,17878547365b7kxu,10925.08,,5356845.86
2026-08-08,2026-08-09,NEFT CR: HDFC UTR1787854736qaluld RAZORPAY SETTLEMENT REF:pay_ifGFilw1AZwsi9,1787854736qaluld,13601.46,,5370447.32
2026-08-10,2026-08-11,NEFT CR: HDFC UTR1787854736f7fr91 RAZORPAY SETTLEMENT REF:pay_CoQxbYb7VLqWxQ,1787854736f7fr91,50164.91,,5420612.23
2026-08-12,2026-08-12,NEFT CR: HDFC UTR1787854736qk8sz7 RAZORPAY SETTLEMENT REF:pay_R7DvKeA05gMwfr,1787854736qk8sz7,1474.52,,5422086.75
2026-08-13,2026-08-14,NEFT CR: HDFC UTR1787854736krjawo RAZORPAY SETTLEMENT REF:pay_bXdPVwq31dPXwN,1787854736krjawo,3815.23,,5425901.98
2026-08-14,2026-08-14,NEFT CR: HDFC UTR17878547363yu6vk RAZORPAY SETTLEMENT REF:pay_N0H6oJ5SrZddcI,17878547363yu6vk,23522.04,,5449424.02
2026-08-15,2026-08-17,NEFT CR: HDFC UTR1787854736mpxkc5 RAZORPAY SETTLEMENT REF:pay_LtxjuK13zfFpLI,1787854736mpxkc5,52455.83,,5501879.85
2026-08-17,2026-08-19,NEFT CR: HDFC UTR178785473698ybqg RAZORPAY SETTLEMENT REF:pay_7RlM5jQZGES6x7,178785473698ybqg,1669.27,,5503549.12
2026-08-17,2026-08-17,NEFT CR: HDFC UTR1787854736oapht6 RAZORPAY SETTLEMENT REF:pay_ZVhrQRYuViLTNj,1787854736oapht6,4166.27,,5507715.39
2026-08-18,2026-08-19,NEFT CR: HDFC UTR1787854736mpm5hg RAZORPAY SETTLEMENT REF:pay_4eMt2MMPmJG5pp,1787854736mpm5hg,2813.48,,5510528.87
2026-08-21,2026-08-23,NEFT CR: HDFC UTR17878547362o003e RAZORPAY SETTLEMENT REF:pay_hCdme931e94RNj,17878547362o003e,2034.69,,5512563.56
2026-08-22,2026-08-23,NEFT CR: HDFC UTR17878547366rpkzg RAZORPAY SETTLEMENT REF:pay_s8gRGMOLAhR8ir,17878547366rpkzg,23774.5,,5536338.06
2026-08-24,2026-08-25,NEFT CR: HDFC UTR1787854736z3a8v4 RAZORPAY SETTLEMENT REF:pay_J9dS5FztVVwgVG,1787854736z3a8v4,11135.34,,5547473.4
2026-08-24,2026-08-25,NEFT CR: HDFC UTR178785473658ps0r RAZORPAY SETTLEMENT REF:pay_Wo8FRYpZMAr4it,178785473658ps0r,3067.41,,5550540.81
2026-08-27,2026-08-28,NEFT CR: HDFC UTR1787854736zrwjxl RAZORPAY SETTLEMENT REF:pay_cpWDhNaNQzUjje,1787854736zrwjxl,26110.74,,5576651.55
2026-08-28,2026-08-30,NEFT CR: HDFC UTR1787854736767j2d RAZORPAY SETTLEMENT REF:pay_z4SZI6SeG3Icpu,1787854736767j2d,50995.51,,5627647.06
2026-08-30,2026-09-01,NEFT CR: HDFC UTR1787854736idzs13 RAZORPAY SETTLEMENT REF:pay_O3qjQ5qRhoL0AM,1787854736idzs13,4408.07,,5632055.13
2026-08-31,2026-09-01,NEFT CR: HDFC UTR17878547367aitmo RAZORPAY SETTLEMENT REF:pay_7qcS90GXWSrBzY,17878547367aitmo,45793.15,,5677848.28
